cnpj_basico,case_number,class_iii_face_sum,establishment_cnpjs,claim_count,debtor_name,stage,is_related_party,above_floor,band,doc_id,creditor_name_as_printed,flags,extracted_at,extracted_by
08886407,0804401-51.2025.8.14.0039,962991.90,08886407000170,1,SOJAL COMERCIA,,,1,FLOOR,c56751547323616443dc07ccc6d6c553539dec25,MINERACAO XAMBIOA LTDA,ROWS:p2r4,2026-09-03T23:03:32Z,build
09414255,8005129-09.2023.8.05.0039,926408.50,09414255000175,1,e na falência,,,1,FLOOR,a0ae32a59c2928e385c610811f80949f98723486,DANIELE MÚLTIPLO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS – NÃO PADRONIZADOS,ROWS:p7r1|UNRECONCILED_SOURCE,2026-09-03T23:03:32Z,build
21044682,8005129-09.2023.8.05.0039,864147.01,21044682000104,1,e na falência,,,1,FLOOR,a0ae32a59c2928e385c610811f80949f98723486,RG COPPER INDUSTRIA E COMERCIO DE CONDUT,ROWS:p9r14|UNRECONCILED_SOURCE,2026-09-03T23:03:32Z,build
11507489,8005129-09.2023.8.05.0039,783839.34,11507489000109,1,e na falência,,,1,FLOOR,a0ae32a59c2928e385c610811f80949f98723486,BFC,ROWS:p5r14|UNRECONCILED_SOURCE|VALUE_COL:Valor_Do_Crédito_2º_Edital_De_Credores,2026-09-03T23:03:32Z,build
09172117,8005129-09.2023.8.05.0039,758759.36,09172117000127,1,e na falência,,,1,FLOOR,a0ae32a59c2928e385c610811f80949f98723486,ASIA FIDC,ROWS:p5r5|UNRECONCILED_SOURCE|VALUE_COL:Valor_Do_Crédito_2º_Edital_De_Credores,2026-09-03T23:03:32Z,build
26506898,8005129-09.2023.8.05.0039,661424.53,26506898000168,2,e na falência,,,1,FLOOR,a0ae32a59c2928e385c610811f80949f98723486,TIRRENO,"ROWS:p10r6,p19r9|UNRECONCILED_SOURCE",2026-09-03T23:03:32Z,build
26489103,8005129-09.2023.8.05.0039,658063.00,26489103000150,2,e na falência,,,1,FLOOR,a0ae32a59c2928e385c610811f80949f98723486,INVISTA,"ROWS:p8r2,p18r4|UNRECONCILED_SOURCE",2026-09-03T23:03:32Z,build
19403406,0804204-35.2022.8.15.0731,644893.08,19403406001549,1,SECULAR COMERCIO CONSTRUÇÃO E REPRESENTAÇÃO LTDA,,,1,FLOOR,1355f93a13cd2722ee99a9ba39c71d079fe85ce0,MAGNUM DISTRIBUIDORA DE PNEUS S/A,ROWS:p1r21,2026-09-03T23:03:32Z,build
00360305,0301015-33.2016.8.24.0031,612992.66,00360305000104,1,e Extrajudicia,,,1,FLOOR,98f99945499b4824d14d0e34451a96945464b6ec,"CAIXA ECONOMICA FEDERAL, CNPJ",ROWS:p2r19|UNRECONCILED_SOURCE,2026-09-03T23:03:32Z,build
38733545,0804204-35.2022.8.15.0731,611207.10,38733545000180,1,SECULAR COMERCIO CONSTRUÇÃO E REPRESENTAÇÃO LTDA,,,1,FLOOR,1355f93a13cd2722ee99a9ba39c71d079fe85ce0,SOTIN SOLUÇÕES TECNICAS IND E COMERCIO LTDA,ROWS:p2r9,2026-09-03T23:03:32Z,build
