case_number,court,chamber,debtor_name,debtor_cnpj,filing_date,stage,administrator_name,administrator_cnpj,source_url,extracted_at,extracted_by
0003971-03.2023.8.16.0119,TJPR,CURITIBA - 2ª VARA DE FALÊNCIAS E RECUPERAÇÕES JUDICIAIS,Marques Administrações Judiciais,,2023-12-15,ACTIVE,marquesadmjudicial.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpr/_search,2026-09-03T22:42:49Z,datajud-loader
0004387-24.2024.8.16.0090,TJPR,CURITIBA - 1ª VARA DE FALÊNCIAS E RECUPERAÇÕES JUDICIAIS,Marques Administrações Judiciais,,2024-08-08,ACTIVE,marquesadmjudicial.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpr/_search,2026-09-03T22:42:49Z,datajud-loader
0004686-90.2026.8.17.2001,TJPE,2ª VARA CÍVEL DA CAPITAL - SEÇÃO A,E FALENCIA,,2026-01-21,ACTIVE,diligence.adm.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpe/_search,2026-09-03T22:42:10Z,datajud-loader
0004984-95.2024.8.16.0153,TJPR,CURITIBA - 1ª VARA DE FALÊNCIAS E RECUPERAÇÕES JUDICIAIS,Agile Equipamentos Odontologicos Ltda. – VTL,,2024-10-08,ACTIVE,vtladm.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpr/_search,2026-09-03T22:42:49Z,datajud-loader
0004986-18.2023.8.16.0083,TJPR,CURITIBA - 1ª VARA DE FALÊNCIAS E RECUPERAÇÕES JUDICIAIS,DALAZEN DISTR.DE PROD.DE HIGIENE PESSOAL LTDA,,2023-07-07,ACTIVE,cb2d.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpr/_search,2026-09-03T22:42:49Z,datajud-loader
0005010-98.2023.8.16.0001,TJPR,CURITIBA - 1ª VARA DE FALÊNCIAS E RECUPERAÇÕES JUDICIAIS,Marques Administrações Judiciais,,2023-03-02,ACTIVE,marquesadmjudicial.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpr/_search,2026-09-03T22:42:49Z,datajud-loader
0005910-33.2023.8.16.0017,TJPR,MARINGÁ - 3ª VARA CÍVEL,Marques Administrações Judiciais,,2023-03-17,ACTIVE,marquesadmjudicial.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpr/_search,2026-09-03T22:42:49Z,datajud-loader
0007565-40.2020.8.17.2370,TJPE,4ª VARA CÍVEL DA COMARCA DE CABO DE SANTO AGOSTINHO,aludida empresa,,2020-03-04,ACTIVE,recuperacaojudicial.squarespace.com,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpe/_search,2026-09-03T22:42:10Z,datajud-loader
0008526-45.2025.8.17.2001,TJPE,29ª VARA CÍVEL DA CAPITAL - SEÇÃO A,E FALENCIA,,2025-01-28,ACTIVE,diligence.adm.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpe/_search,2026-09-03T22:42:10Z,datajud-loader
0008897-71.2025.8.16.0017,TJPR,CURITIBA - 2ª VARA DE FALÊNCIAS E RECUPERAÇÕES JUDICIAIS,Marques Administrações Judiciais,,2025-04-08,ACTIVE,marquesadmjudicial.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpr/_search,2026-09-03T22:42:49Z,datajud-loader
0009339-09.2024.8.17.2001,TJPE,28ª VARA CÍVEL DA CAPITAL - SEÇÃO A,Cuida-se de pedido de recuperação judicia,,2024-01-30,ACTIVE,lrflideres.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpe/_search,2026-09-03T22:42:10Z,datajud-loader
0009800-26.2026.8.16.0194,TJPR,CURITIBA - 1ª VARA DE FALÊNCIAS E RECUPERAÇÕES JUDICIAIS,Electra Comercia,,2026-05-27,ACTIVE,credibilita.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpr/_search,2026-09-03T22:42:49Z,datajud-loader
0009971-62.2026.8.17.2810,TJPE,5ª VARA CÍVEL DA COMARCA DE JABOATÃO DOS GUARARAPES,formulado por GOLD MEGAÓ INDÚSTRIA DE TINTAS LTDA,,2026-05-06,ACTIVE,recuperasolucoes.com,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpe/_search,2026-09-03T22:42:10Z,datajud-loader
0011283-80.2023.8.17.2001,TJPE,21ª VARA CÍVEL DA CAPITAL - SEÇÃO A,Náutico - Página — Lindoso e Araujo,,2023-02-09,ACTIVE,recuperacaojudicial.squarespace.com,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpe/_search,2026-09-03T22:42:10Z,datajud-loader
0011441-85.2025.8.17.2480,TJPE,6ª VARA CÍVEL DA COMARCA DE CARUARU,GRUPO NEPHRONCARE – Diligence Administração em Recuperação Judicial e Falência,,2025-08-29,ACTIVE,diligence.adm.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpe/_search,2026-09-03T22:42:10Z,datajud-loader
0012239-96.2021.8.19.0001,TJRJ,CAPITAL 3 VARA EMPRESARIAL,sociedade Cimento Tupi S/A,,2021-01-21,ACTIVE,inova-aj.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjrj/_search,2026-09-03T22:43:31Z,datajud-loader
0012245-43.2022.8.16.0069,TJPR,CURITIBA - 2ª VARA DE FALÊNCIAS E RECUPERAÇÕES JUDICIAIS,Marques Administrações Judiciais,,2022-12-06,ACTIVE,marquesadmjudicial.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpr/_search,2026-09-03T22:42:49Z,datajud-loader
0016033-22.2025.8.16.0017,TJPR,CURITIBA - 2ª VARA DE FALÊNCIAS E RECUPERAÇÕES JUDICIAIS,Marques Administrações Judiciais,,2025-06-25,ACTIVE,marquesadmjudicial.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpr/_search,2026-09-03T22:42:49Z,datajud-loader
0016858-63.2025.8.16.0017,TJPR,CURITIBA - 2ª VARA DE FALÊNCIAS E RECUPERAÇÕES JUDICIAIS,Marques Administrações Judiciais,,2025-07-02,ACTIVE,marquesadmjudicial.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpr/_search,2026-09-03T22:42:49Z,datajud-loader
0019289-97.2025.8.06.0001,TJCE,"3ª VARA EMPRESARIAL, DE RECUPERAÇAO DE EMPRESAS E DE FALENCIAS DO ESTADO DO CEARA",SIGNUS CONSTRUÇÕES E ASSESSORIA TÉCNICA LTDA,,2025-05-06,ACTIVE,lrflideres.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjce/_search,2026-09-03T22:39:38Z,datajud-loader
0019761-43.2024.8.17.2001,TJPE,24ª VARA CÍVEL DA CAPITAL - SEÇÃO B,GRUPO ADLIM – LRF Líderes em Recuperação Judicial e Falência,,2024-02-27,ACTIVE,lrflideres.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpe/_search,2026-09-03T22:42:10Z,datajud-loader
0026395-77.2025.8.16.0019,TJPR,CURITIBA - 24ª VARA CÍVEL,GRUPO FOREST – Sgrott Administradora Judicial e Consultoria Empresarial,,2025-08-01,ACTIVE,administradorajudicialgs.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpr/_search,2026-09-03T22:42:49Z,datajud-loader
0028131-73.2024.8.16.0017,TJPR,CURITIBA - 2ª VARA DE FALÊNCIAS E RECUPERAÇÕES JUDICIAIS,SCZ Scalzilli Administração Judicial,,2024-10-29,ACTIVE,scalzilliaj.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpr/_search,2026-09-03T22:42:49Z,datajud-loader
0028903-37.2025.8.17.2001,TJPE,24ª VARA CÍVEL DA CAPITAL - SEÇÃO B,formulado por Educacional Cordeiro e O liveira Ltda,,2025-04-03,ACTIVE,recuperacaojudicial.squarespace.com,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpe/_search,2026-09-03T22:42:10Z,datajud-loader
0029198-39.2025.8.16.0017,TJPR,CURITIBA - 2ª VARA DE FALÊNCIAS E RECUPERAÇÕES JUDICIAIS,Marques Administrações Judiciais,,2025-11-04,ACTIVE,marquesadmjudicial.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpr/_search,2026-09-03T22:42:49Z,datajud-loader
0029772-63.2026.8.17.2001,TJPE,30ª VARA CÍVEL DA CAPITAL - SEÇÃO A,e Falência,,2026-04-09,ACTIVE,recuperacaojudicial.squarespace.com,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpe/_search,2026-09-03T22:42:10Z,datajud-loader
0031120-52.2024.8.16.0017,TJPR,CURITIBA - 2ª VARA DE FALÊNCIAS E RECUPERAÇÕES JUDICIAIS,"supramencionado, nos autos principais da presente Recuperação Judicia",,2024-11-29,ACTIVE,marquesadmjudicial.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpr/_search,2026-09-03T22:42:49Z,datajud-loader
0035526-54.2024.8.17.2001,TJPE,26ª VARA CÍVEL DA CAPITAL - SEÇÃO B,IMPERIO ATACADISTA DE ESTIVAS E CEREAIS LTDA E OUTRAS - Vivante Gestão e Administração Judicial,,2024-04-02,CONVERTED_TO_BANKRUPTCY,vivanteaj.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpe/_search,2026-09-03T22:42:10Z,datajud-loader
0036136-44.2025.8.16.0019,TJPR,CURITIBA - 24ª VARA CÍVEL,SCZ Scalzilli Administração Judicial,,2025-10-14,ACTIVE,scalzilliaj.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpr/_search,2026-09-03T22:42:49Z,datajud-loader
0037411-27.2022.8.16.0021,TJPR,CURITIBA - 1ª VARA DE FALÊNCIAS E RECUPERAÇÕES JUDICIAIS,"APRESENTADO PELA RECUPERANDA, NA FORMA Distribuidora S.A",,2022-11-17,ACTIVE,marquesadmjudicial.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpr/_search,2026-09-03T22:42:49Z,datajud-loader
0043030-30.2025.8.16.0021,TJPR,CURITIBA - 1ª VARA DE FALÊNCIAS E RECUPERAÇÕES JUDICIAIS,"foi apresentado no movimento 112 dos autos supramencionados, em consonância",,2025-09-12,ACTIVE,marquesadmjudicial.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpr/_search,2026-09-03T22:42:49Z,datajud-loader
