creditor_name,cnpj,case_number,amount_old,status_old,source_url,raw
AVANTE ADMINISTRACAO E COBRANCA LTDA,07918102000130,8005129-09.2023.8.05.0039,82500.00,,https://assistjud.com.br/wp-content/uploads/elementor/forms/65098c80a5824.pdf,"AVANTE ADMINISTRACAO E COBRANCA LTDA |  |  |  |  |  | 07918102000130 | ATIVA | Conduscabos Brasil Indústria Comércio de Condutores Elétricos LTDA. | 8005129-09.2023.8.05.0039 | III - QUIROGRAFÁRIO | R$ 82,500.00 |  |  |  | TRUSTED_NAME_ALIGNED | 0.567 | PROVISIONAL_CLASS_III_CANDIDATE | Bahia (TJBA)"
SIND DOS TRABS NAS INDS MET MEC E DE MAT ELETRIC DE CXS,88662267000195,,72683.87,,"https://scalzilliaj.com.br/sgc/download.php?file=files/processo_documento/processo_documento15513401112022_1_.pdf\&nome=15%20-%20Edital%20do%20art.%207%C2%BA,%20%C2%A72%C2%BA%20(segunda%20lista%20de%20credores)%20e%20do%20art.%2053%20da%20Lei%2011.101/2005%20(recebimento%20do%20plano)","SIND DOS TRABS NAS INDS MET MEC E DE MAT ELETRIC DE CXS |  |  |  |  |  | 88662267000195 | ATIVA | Vector Indústria de Produtos Metalúrgicos Ltda. (Arke) |  | III - QUIROGRAFÁRIO | R$ 72,683.87 |  |  |  | TRUSTED_NAME_ALIGNED | 0.571 | PROVISIONAL_CLASS_III_CANDIDATE | Rio Grande do Sul (TJRS) | RS |"
ATENA OPERADORA TURISTICA LTDA.,21575389000173,0820780-23.2026.8.14.0301,59285.71,,https://cdn.dol.com.br/img/attachmentinline/940000/6publicacao-2-edital-art-7-parag-2-da-lei-11101-20009467060.pdf?xid=3272528,"ATENA OPERADORA TURISTICA LTDA. |  |  |  |  |  | 21575389000173 | ATIVA | PAYSANDU SPORT CLUB | 0820780-23.2026.8.14.0301 | III - QUIROGRAFÁRIO | R$ 59,285.71 |  |  |  | TRUSTED_NAME_ALIGNED | 1 | PROVISIONAL_CLASS_III_CANDIDATE | Pará (TJPA) | RJ | RIO DE JANEIRO | Agências de viagens | Sociedade E"
DOMINIK COMERCIO E INDUSTRIA DE METAIS E EQUIPAMENTOS LTDA,72332794000363,8005129-09.2023.8.05.0039,56421.22,,https://assistjud.com.br/wp-content/uploads/elementor/forms/65098c80a5824.pdf,"DOMINIK COMERCIO E INDUSTRIA DE METAIS E EQUIPAMENTOS LTDA |  |  |  |  |  | 72332794000363 | ATIVA | Conduscabos Brasil Indústria Comércio de Condutores Elétricos LTDA. | 8005129-09.2023.8.05.0039 | III - QUIROGRAFÁRIO | R$ 56,421.22 |  |  |  | TRUSTED_NAME_ALIGNED | 0.561 | PROVISIONAL_CLASS_III_CA"
FUSOPAR PARAFUSOS LTDA,89135073000102,,55215.92,,"https://scalzilliaj.com.br/sgc/download.php?file=files/processo_documento/processo_documento15513401112022_1_.pdf\&nome=15%20-%20Edital%20do%20art.%207%C2%BA,%20%C2%A72%C2%BA%20(segunda%20lista%20de%20credores)%20e%20do%20art.%2053%20da%20Lei%2011.101/2005%20(recebimento%20do%20plano)","FUSOPAR PARAFUSOS LTDA |  |  |  |  |  | 89135073000102 | ATIVA | Vector Indústria de Produtos Metalúrgicos Ltda. (Arke) |  | III - QUIROGRAFÁRIO | R$ 55,215.92 |  |  |  | TRUSTED_NAME_ALIGNED | 0.69 | PROVISIONAL_CLASS_III_CANDIDATE | Rio Grande do Sul (TJRS) | RS | CAXIAS DO SUL | Fabricação de out"
BRASKEM S.A,42150391003005,0800778-16.2023.8.20.5104,46729.62,,http://recuperacaojudicial.squarespace.com/s/LISTA-DE-CREDORES-CONSOLIDADA-ATE-04102024.pdf,"BRASKEM S.A |  |  |  |  |  | 42150391003005 | ATIVA | IMPLASVERDE INDUSTRIA DE PLASTICOS BAIXAVERDE LTDA | 0800778-16.2023.8.20.5104 | III - QUIROGRAFÁRIO | R$ 46,729.62 |  |  |  | TRUSTED_NAME_ALIGNED | 1 | PROVISIONAL_CLASS_III_CANDIDATE | Rio Grande do Norte (TJRN) | BA | CAMACARI | Fabricação de"
TRICHES FERRO E ACO LTDA,88610605000145,,41683.03,,"https://scalzilliaj.com.br/sgc/download.php?file=files/processo_documento/processo_documento15513401112022_1_.pdf\&nome=15%20-%20Edital%20do%20art.%207%C2%BA,%20%C2%A72%C2%BA%20(segunda%20lista%20de%20credores)%20e%20do%20art.%2053%20da%20Lei%2011.101/2005%20(recebimento%20do%20plano)","TRICHES FERRO E ACO LTDA |  |  |  |  |  | 88610605000145 | ATIVA | Vector Indústria de Produtos Metalúrgicos Ltda. (Arke) |  | III - QUIROGRAFÁRIO | R$ 41,683.03 |  |  |  | TRUSTED_NAME_ALIGNED | 1 | PROVISIONAL_CLASS_III_CANDIDATE | Rio Grande do Sul (TJRS) | RS | CAXIAS DO SUL | Fabricação de outr"
SIDERURGICA NORTE BRASIL S/A,07933914000154,0800778-16.2023.8.20.5104,40552.92,,http://recuperacaojudicial.squarespace.com/s/LISTA-DE-CREDORES-CONSOLIDADA-ATE-04102024.pdf,"SIDERURGICA NORTE BRASIL S/A |  |  |  |  |  | 07933914000154 | ATIVA | IMPLASVERDE INDUSTRIA DE PLASTICOS BAIXAVERDE LTDA | 0800778-16.2023.8.20.5104 | III - QUIROGRAFÁRIO | R$ 40,552.92 |  |  |  | TRUSTED_NAME_ALIGNED | 0.923 | PROVISIONAL_CLASS_III_CANDIDATE | Rio Grande do Norte (TJRN) | PA | MAR"
MULTIPLAX INDUSTRIA E COMERCIO DE PLASTICOS LTDA,09665178000550,0800778-16.2023.8.20.5104,38625.00,,http://recuperacaojudicial.squarespace.com/s/LISTA-DE-CREDORES-CONSOLIDADA-ATE-04102024.pdf,"MULTIPLAX INDUSTRIA E COMERCIO DE PLASTICOS LTDA |  |  |  |  |  | 09665178000550 | ATIVA | IMPLASVERDE INDUSTRIA DE PLASTICOS BAIXAVERDE LTDA | 0800778-16.2023.8.20.5104 | III - QUIROGRAFÁRIO | R$ 38,625.00 |  |  |  | TRUSTED_NAME_ALIGNED | 1 | PROVISIONAL_CLASS_III_CANDIDATE | Rio Grande do Norte ("
INDUSTRIA DE TRANSFORMADORES AMAZONAS LTDA,15815491000104,0532018-89.2024.8.04.0001,37576.45,,https://ajud-mm.s3.amazonaws.com/arquivos/9736_67100457ccb7a.pdf,"INDUSTRIA DE TRANSFORMADORES AMAZONAS LTDA |  |  |  |  |  | 15815491000104 | ATIVA | RD Engenharia Ltda e outros | 0532018-89.2024.8.04.0001 | III - QUIROGRAFÁRIO | R$ 37,576.45 |  |  |  | TRUSTED_NAME_ALIGNED | 0.787 | PROVISIONAL_CLASS_III_CANDIDATE | Amazonas (TJAM) | AM | MANAUS | Fabricação de "
GRAFICA E EDITORA 3 DE MAIO LTDA,76817808000128,,33089.33,,https://administradorajudicialgs.com.br/wp-content/uploads/2023/08/edital-quadro-geral-de-credores.pdf,"GRAFICA E EDITORA 3 DE MAIO LTDA |  |  |  |  |  | 76817808000128 | ATIVA | Unknown Debtor |  | III - QUIROGRAFÁRIO | R$ 33,089.33 |  |  |  | TRUSTED_NAME_ALIGNED | 0.857 | PROVISIONAL_CLASS_III_CANDIDATE | Santa Catarina (TJSC) | SC | BLUMENAU | Impressão de material para uso publicitário | Sociedad"
