cnpj_basico,case_number,class_iii_face_sum,establishment_cnpjs,claim_count,debtor_name,stage,is_related_party,above_floor,band,doc_id,creditor_name_as_printed,flags,extracted_at,extracted_by
00000000,0033736-15.2023.8.16.0185,2921132.88,00000000000191,1,EQUIP SEG INTELIGÊNCIA EM SEGURANÇA LTDA – FALÊNCIA – Brazilio Bacellar Shirai Advogados,,,1,FLOOR,b9895d3bab0574f7ee5fb575d38055b76e20be4b,BANCO DO BRASIL S.A.,LIKELY_FINANCIAL_BY_NAME|ROWS:p38r5|UNRECONCILED_SOURCE,2026-09-03T23:36:48Z,build
47320705,0043030-30.2025.8.16.0021,2916553.74,47320705000150,1,"foi apresentado no movimento 112 dos autos supramencionados, em consonância",,,1,FLOOR,9846e4c0bb373e6d20054e1b22855355a6383506,Irany Comércio Exterior Ltda (CNPJ nº,ROWS:p1r46|UNRECONCILED_SOURCE,2026-09-03T23:36:48Z,build
00000000,0700536-67.2024.8.02.0043,2869597.33,00000000000191,1,GRUPO PISEBEM — Lindoso e Araujo,,,1,FLOOR,d7c426fbd475685a322559791802848a6b81e7db,BANCO DO BRASIL,LIKELY_FINANCIAL_BY_NAME|ROWS:p2r4|UNRECONCILED_SOURCE,2026-09-03T23:36:47Z,build
00000000,0008526-45.2025.8.17.2001,2864591.61,00000000000191,1,E FALENCIA,,,1,FLOOR,1658892fa167d2330f5086c9fbc19999d00549f1,BANCO DO BRASIL SA,LIKELY_FINANCIAL_BY_NAME|ROWS:p5r51,2026-09-03T23:36:47Z,build
40910399,5011369-81.2026.8.09.0093,2859701.32,40910399000162,1,SCZ Scalzilli Administração Judicial,,,1,FLOOR,c536a2fa4da39efaa9c4b859cacb48e293873548,"Av. Governador Luiz Rocha, nº 2080, Sala 13, Malidere III, CEP 65800-000, em Balsas - MA.",ROWS:p3r9|UNRECONCILED_SOURCE,2026-09-03T23:36:47Z,build
61902722,0011283-80.2023.8.17.2001,2823611.80,61902722000126,1,Náutico - Página — Lindoso e Araujo,,,1,FLOOR,677be5783c06848acb5f46b0d8db0aea7876624a,"SPORT CLUB CORINTHIANS PAULISTA, CPF/CNPJ Nº",PARTIAL_DOC_CLASS_III_RECONCILED|ROWS:p12r44,2026-09-03T23:36:47Z,build
90400888,0002484-82.2022.8.17.2001,2800719.20,90400888000142,2,e Falência,,,1,FLOOR,f3b6182e3aa2715450af4d59223acc49f7047632,BANCO SANTANDER (BRASIL) S.A,"LIKELY_FINANCIAL_BY_NAME|PARTIAL_DOC_CLASS_III_RECONCILED|ROWS:p4r57,p7r80",2026-09-03T23:36:48Z,build
59588111,0005010-98.2023.8.16.0001,2800000.00,59588111000103,1,Marques Administrações Judiciais,,,1,FLOOR,b465a5d11eec7a46656b594fa59c62d80724e0a1,Banco Votorantim S.A.,LIKELY_FINANCIAL_BY_NAME|PARTIAL_DOC_CLASS_III_RECONCILED|ROWS:p21r6,2026-09-03T23:36:48Z,build
92702067,0005010-98.2023.8.16.0001,2796663.42,92702067000196,1,Marques Administrações Judiciais,,,1,FLOOR,b465a5d11eec7a46656b594fa59c62d80724e0a1,Banco Do Estado Do Rio Grande Do Sul S.A.,LIKELY_FINANCIAL_BY_NAME|LIKELY_PUBLIC_BY_NAME|PARTIAL_DOC_CLASS_III_RECONCILED|ROWS:p20r11,2026-09-03T23:36:48Z,build
10588595,0005010-98.2023.8.16.0001,2794382.91,10588595001092,1,Marques Administrações Judiciais,,,1,FLOOR,b465a5d11eec7a46656b594fa59c62d80724e0a1,Sanofi Medley Farmaceutica Ltda,PARTIAL_DOC_CLASS_III_RECONCILED|ROWS:p31r6,2026-09-03T23:36:48Z,build
59588111,0005010-50.2013.8.24.0026,2791496.59,59588111000103,1,MANNES LTDA E BM EMPREENDIMENTOS E PARTICIPAÇÕES – Sgrott Administradora Judicial e Consultoria Empresarial,,,1,FLOOR,ea17ba43b2611e60da78d77cd10f534a8d7ffa56,BANCO VOTORANTIM S.A,LIKELY_FINANCIAL_BY_NAME|ROWS:p13r12|UNRECONCILED_SOURCE,2026-09-03T23:36:48Z,build
00360305,,2786495.38,00360305000104,1,,,,1,FLOOR,6a92d74da333ce21f5461767626e7ff05b8f474a,CAIXA ECONOMICA FEDERAL,CASE_NUMBER_MISSING|LIKELY_FINANCIAL_BY_NAME|ROWS:p3r11,2026-09-03T23:36:47Z,build
